,Z,Var_tot_a,Var_A1_a,Var_A2_a,Var_A3_a,Var_A4_a,Var_tot_b,Var_A1_b,Var_A2_b,Var_A3_b,Var_A4_b,Var_tot_c,Var_A1_c,Var_A2_c,Var_A3_c,Var_A4_c,Var_tot_d,Var_A1_d,Var_A2_d,Var_A4_d,Var_A4_d,Std_tot_a,Std_A1_a,Std_A2_a,Std_A3_a,Std_A4_a,Std_tot_b,Std_A1_b,Std_A2_b,Std_A3_b,Std_A4_b,Std_tot_c,Std_A1_c,Std_A2_c,Std_A3_c,Std_A4_c,Std_tot_d,Std_A1_d,Std_A2_d,Std_A4_d,Std_A4_d
10,-31.599999999999998,5.367050107213566e-11,5.980338096202028e-13,1.8480953403639302e-12,,9.666803601983795e-14,4.272657487836276e-11,6.979875492879976e-13,3.0057282202588804e-12,,2.0666321345704636e-13,3.0947676692185166e-11,1.00508395448245e-12,3.4587842273361e-12,,7.363111013100247e-13,2.4722214789367267e-11,1.6310549352438562e-12,4.095277178140533e-12,1.2759918490996375e-12,1.2759918490996375e-12,1.3236188801471955e-06,6.968426097399377e-07,1.1883198267686488e-06,,2.8264031545786353e-07,2.1865167366170066e-06,8.079762916948784e-07,1.6720372026914187e-06,,4.484183012926917e-07,2.2518618079486786e-06,9.909750332090866e-07,1.8423519965679505e-06,,8.555108090633766e-07,2.3100859212244648e-06,1.2734033023176692e-06,2.01644812319533e-06,1.1262134465819565e-06,1.1262134465819565e-06
11,-35.599999999999994,4.7403987658626136e-11,7.174540364788606e-13,2.2473495006469605e-12,,9.419318914399438e-14,3.818150183395711e-11,8.351693552705712e-13,3.6301507205802313e-12,,2.2643576456875998e-13,2.7616070351430033e-11,1.1177382328655096e-12,4.004582142610965e-12,,7.792325206447179e-13,2.1913018691913815e-11,1.6480989319427878e-12,4.467714364579194e-12,1.2218685426020212e-12,1.2218685426020212e-12,1.332131225916436e-06,7.68927357859107e-07,1.308348545230984e-06,,2.789065829528619e-07,2.167607853593699e-06,8.832968667839486e-07,1.835958714666621e-06,,4.6903948777284966e-07,2.209431122536113e-06,1.0448655902763143e-06,1.9801711875227713e-06,,8.793895589824188e-07,2.2421706680976055e-06,1.279961232197501e-06,2.104834761437572e-06,1.1017827081635016e-06,1.1017827081635016e-06
12,-39.949999999999996,4.548386798144281e-11,9.366908120702261e-13,2.964093874516167e-12,,1.0023393104800184e-13,3.7045565869213326e-11,1.0887682173583383e-12,4.756410137049263e-12,,2.7402575693453585e-13,2.6738509305715826e-11,1.3707284144523422e-12,5.058282105623247e-12,,9.105826547453587e-13,2.1062013499835367e-11,1.8418805765188233e-12,5.3499888940788e-12,1.2901849219755555e-12,1.2901849219755555e-12,1.4043078164859718e-06,8.839791838794232e-07,1.5008010429985505e-06,,2.876205600808389e-07,2.246694238295138e-06,1.0081039350654792e-06,2.100073649910041e-06,,5.156462785498699e-07,2.266558898797052e-06,1.1568541381691444e-06,2.223132650720422e-06,,9.497403342539288e-07,2.2746730185829723e-06,1.3529503705982979e-06,2.3017903118441948e-06,1.1317041834645435e-06,1.1317041834645435e-06
13,-44.599999999999994,4.978774836794437e-11,1.3941475856423768e-12,4.446015677804599e-12,,1.217039960843751e-13,4.08722657164807e-11,1.6193722844043164e-12,7.088878609221979e-12,,3.8288616849590526e-13,2.93809212987131e-11,1.9372079239437493e-12,7.298539468224017e-12,,1.2288234811339566e-12,2.295610053934714e-11,2.3825893396443133e-12,7.355328346147808e-12,1.5741575534402464e-12,1.5741575534402464e-12,1.5847833486723671e-06,1.084005891158116e-06,1.8364555676586473e-06,,3.1683892767263945e-07,2.4888147407281365e-06,1.2290971602175525e-06,2.562292775825359e-06,,6.091752338350043e-07,2.484821470561346e-06,1.374973853124441e-06,2.6677446334579648e-06,,1.1021337997094959e-06,2.465470810421419e-06,1.5384644728286803e-06,2.697059506991148e-06,1.2493126621348113e-06,1.2493126621348113e-06
14,-49.49999999999999,4.899652588980757e-11,1.8532002214859905e-12,5.943825442121044e-12,,1.3301811581423672e-13,4.051170329106357e-11,2.152216755421096e-12,9.420361008677538e-12,,4.841960506103067e-13,2.8973180014390337e-11,2.4713824045256195e-12,9.432429127315001e-12,,1.5039937533593251e-12,2.2446276601825416e-11,2.8081681269326734e-12,9.113386835712796e-12,1.7552604951298344e-12,1.7552604951298344e-12,1.6986756605756454e-06,1.2550644352897066e-06,2.1220627628140747e-06,,3.3115793700204436e-07,2.617241369250699e-06,1.4167055386940676e-06,2.952366131813062e-06,,6.847138789095431e-07,2.586634245791616e-06,1.55267870167354e-06,3.02997265966796e-06,,1.2179590090246344e-06,2.5377676151622166e-06,1.6697575210545045e-06,3.000077671218748e-06,1.318181182313816e-06,1.318181182313816e-06
15,-54.49999999999999,4.8613345465675504e-11,2.451042332190268e-12,7.894565197955568e-12,,1.4595883783457146e-13,4.037566031381957e-11,2.846762917279229e-12,1.244155051829162e-11,,6.163331293204229e-13,2.8702590729291368e-11,3.1638172176611164e-12,1.2160901527621924e-11,,1.8576132885104917e-12,2.2049768974094128e-11,3.3562531082502022e-12,1.1326887079308593e-11,1.997178716286244e-12,1.997178716286244e-12,1.8263108520386672e-06,1.4483786531435542e-06,2.4446133707131063e-06,,3.4682875455040537e-07,2.7591593075354943e-06,1.6291959113778698e-06,3.391697957257234e-06,,7.72209159225325e-07,2.701154052744041e-06,1.7564312007303117e-06,3.4375574124390697e-06,,1.352080464619058e-06,2.6214807304751063e-06,1.8248255540748117e-06,3.3424437530222877e-06,1.4047453011699036e-06,1.4047453011699036e-06
16,-59.49999999999999,5.215758996333668e-11,3.4258790159384615e-12,1.1068653834987839e-11,,1.7149251691986378e-13,4.351437320948281e-11,3.979472666297023e-12,1.735143065466194e-11,,8.377931157796787e-13,3.079516341869428e-11,4.3098448861189046e-12,1.661356785201732e-11,,2.457749705203833e-12,2.3472435819955168e-11,4.3177694216550215e-12,1.4997456353220318e-11,2.4698138035403368e-12,2.4698138035403368e-12,2.031948227242694e-06,1.717169372669073e-06,2.893955331664569e-06,,3.7590303638971803e-07,3.011465146522817e-06,1.9261971378523214e-06,4.004403389752583e-06,,9.000370063978679e-07,2.924022331491249e-06,2.0496722274272474e-06,4.014983855139562e-06,,1.5535677289933484e-06,2.80929919808442e-06,2.0690096051466553e-06,3.8437978566577865e-06,1.5605131774246284e-06,1.5605131774246284e-06
17,-64.5,5.3607995779606776e-11,4.4179340870815454e-12,1.4306132078675276e-11,,1.893802972577507e-13,4.4777627433596134e-11,5.1318452143780646e-12,2.2316582725278073e-11,,1.0603601701909495e-12,3.1457745773288204e-11,5.446487732676045e-12,2.1000109098667348e-11,,3.038412186388981e-12,2.3776875191111137e-11,5.213294540825248e-12,1.8469529344354706e-11,2.9000796894464987e-12,2.9000796894464987e-12,2.1867241428337323e-06,1.954374880484295e-06,3.289794131886901e-06,,3.950119568689792e-07,3.18423168154748e-06,2.187442749159916e-06,4.5406646966508485e-06,,1.0123173614126118e-06,3.069846039402244e-06,2.3038689306355545e-06,4.511272699227735e-06,,1.7257121067724118e-06,2.923261492961208e-06,2.272645395460206e-06,4.2634479731681775e-06,1.6892646098209595e-06,1.6892646098209595e-06
18,-69.5,5.513856658293646e-11,5.544768554022583e-12,1.7986228962355943e-11,,2.0692613474843155e-13,4.612243904720637e-11,6.439196475602913e-12,2.792511197930568e-11,,1.3155721306564737e-12,3.222315090448702e-11,6.721173514334923e-12,2.5887257319403192e-11,,3.691600427972635e-12,2.418438023941601e-11,6.201634186001884e-12,2.2267679982638157e-11,3.3914759980097696e-12,3.3914759980097696e-12,2.3340240275833982e-06,2.1934621750976163e-06,3.6888893280306154e-06,,4.129281106004772e-07,3.345469870520917e-06,2.4504420228133706e-06,5.079025083749815e-06,,1.127379528785499e-06,3.2061413895073785e-06,2.5590851575205666e-06,5.006226635823797e-06,,1.900567831573681e-06,3.0295374002458535e-06,2.477898956952617e-06,4.679396336978534e-06,1.8250754112853008e-06,1.8250754112853008e-06
19,-74.5,5.3525702947550154e-11,6.381242520759892e-12,2.07292324471714e-11,,2.1045622408094134e-13,4.4756582463168546e-11,7.40626227476445e-12,3.203287657913435e-11,,1.5056947836631532e-12,3.1102832641417083e-11,7.619487525234744e-12,2.930357991529962e-11,,4.144544113605201e-12,2.3193597754039505e-11,6.822410770279439e-12,2.4722238817011657e-11,3.703540804739981e-12,3.703540804739981e-12,2.3959500662429955e-06,2.356663161156165e-06,3.9608247825225666e-06,,4.164886535181062e-07,3.387304544465519e-06,2.6282778051941143e-06,5.440004262926849e-06,,1.2059312956338905e-06,3.231338215027105e-06,2.7246041949937872e-06,5.324081479161091e-06,,2.0122881660340743e-06,3.032517733427302e-06,2.598190842821665e-06,4.928915074013531e-06,1.9056339822622266e-06,1.9056339822622266e-06
